2026-03-15 17:57:45 | INFO     | visualizer | Building AstroGoldHH dashboard for GC=F (502 bars) …
2026-03-15 17:57:45 | INFO     | visualizer | Chart assembled — BUY markers: 1  SELL markers: 0
2026-03-15 17:57:46 | INFO     | visualizer | Dashboard saved (offline) → /Users/admin/Desktop/AstroGoldHH/data/GC_F_dashboard.html
2026-03-15 21:32:52 | INFO     | visualizer | Building AstroGoldHH dashboard for GC=F (251 bars) …
2026-03-15 21:32:52 | INFO     | visualizer | Chart assembled — BUY markers: 0  SELL markers: 0
2026-03-15 21:33:53 | INFO     | visualizer | Building AstroGoldHH dashboard for GC=F (251 bars) …
2026-03-15 21:33:53 | INFO     | visualizer | Chart assembled — BUY markers: 0  SELL markers: 0
2026-03-15 21:51:48 | INFO     | visualizer | Building AstroGoldHH dashboard for GC=F (1258 bars) …
2026-03-15 21:51:48 | INFO     | visualizer | Chart assembled — BUY markers: 18  SELL markers: 0
2026-03-15 21:53:23 | INFO     | visualizer | Building AstroGoldHH dashboard for GC=F (1258 bars) …
2026-03-15 21:53:24 | INFO     | visualizer | Chart assembled — BUY markers: 18  SELL markers: 0
